id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game,home_team_id,home_team_full_name,home_team_school_name,home_team_mascot,away_team_id,away_team_full_name,away_team_school_name,away_team_mascot,home_team_ranking,away_team_ranking
96895,2022,12,0,258,324,,,0,0,258,Virginia Cavaliers,Virginia,Cavaliers,324,Coastal Carolina Chanticleers,Coastal Carolina,Chanticleers,-1.0,23.0
85158,2016,10,0,56,2368,,,0,1,56,Stetson Hatters,Stetson,Hatters,2368,Marist Red Foxes,Marist,Red Foxes,-1.0,-1.0
96274,2022,10,0,2273,2392,,,1,0,2273,Hillsdale Chargers,Hillsdale,Chargers,2392,Michigan Tech Huskies,Michigan Tech,Huskies,-1.0,-1.0
96951,2022,13,0,259,258,,,0,1,259,Virginia Tech Hokies,Virginia Tech,Hokies,258,Virginia Cavaliers,Virginia,Cavaliers,-1.0,-1.0
96624,2022,11,0,2832,2151,,,1,1,2832,St. Norbert Green Knights,St. Norbert,Green Knights,2151,Concordia (IL) Cougars,Concordia (IL),Cougars,-1.0,-1.0
85175,2016,10,0,2382,2193,,,0,1,2382,Mercer Bears,Mercer,Bears,2193,ETSU Buccaneers,East Tennessee State,Buccaneers,-1.0,-1.0
96243,2022,10,0,390,365,,,1,1,390,Utica Pioneers,Utica,Pioneers,365,Alfred Saxons,Alfred,Saxons,-1.0,-1.0
96210,2022,10,0,587,2882,,,1,1,587,Notre Dame College Blue Falcons,Notre Dame College,Blue Falcons,2882,UNC Pembroke Braves,UNC Pembroke,Braves,-1.0,-1.0
89942,2019,11,0,2000,2534,,,0,1,2000,Abilene Christian Wildcats,Abilene Christian,Wildcats,2534,Sam Houston State Bearkats,Sam Houston State,Bearkats,-1.0,-1.0
96229,2022,10,0,122774,2951,,,1,1,122774,Keystone Giants,Keystone,Giants,2951,SUNY Maritime Privateers,SUNY Maritime,Privateers,-1.0,-1.0
96611,2022,11,0,2688,2828,,,1,1,2688,Washington & Lee Generals,Washington & Lee,Generals,2828,Shenandoah Hornets,Shenandoah,Hornets,-1.0,-1.0
96691,2022,11,0,11,2424,,,1,1,11,Colorado Mesa Mavericks,Colorado Mesa,Mavericks,2424,New Mexico Highlands Cowboys,New Mexico Highlands,Cowboys,-1.0,-1.0
96299,2022,10,0,2233,2419,,,1,1,2233,Franklin Grizzlies,Franklin,Grizzlies,2419,Mount St. Joseph Lions,Mount St. Joseph,Lions,-1.0,-1.0
96980,2022,13,0,2146,2364,,,1,0,2146,Colorado Mines Orediggers,Colorado Mines,Orediggers,2364,Minnesota State Mavericks,Minnesota State,Mavericks,-1.0,-1.0
96516,2022,11,0,2972,379,,,1,1,2972,Plymouth State Panthers,Plymouth State,Panthers,379,UMass Dartmouth Corsairs,UMass Dartmouth,Corsairs,-1.0,-1.0
96626,2022,11,0,424,191,,,1,1,424,Capital Crusaders,Capital,Crusaders,191,Heidelberg Student Princes,Heidelberg,Student Princes,-1.0,-1.0
96774,2022,11,0,2829,2704,,,1,0,2829,Simon Fraser Clansmen,Simon Fraser,Clansmen,2704,West Texas A&M Buffaloes,West Texas A&M,Buffaloes,-1.0,-1.0
96593,2022,11,0,129,2392,,,1,1,129,Saginaw Valley Cardinals,Saginaw Valley,Cardinals,2392,Michigan Tech Huskies,Michigan Tech,Huskies,-1.0,-1.0
97036,2022,14,0,3071,175,,,1,0,3071,North Central Cardinals,North Central,Cardinals,175,Ithaca Bombers,Ithaca,Bombers,-1.0,-1.0
96307,2022,10,0,2151,2283,,,1,1,2151,Concordia (IL) Cougars,Concordia (IL),Cougars,2283,Benedictine (IL) Eagles,Benedictine (IL),Eagles,-1.0,-1.0
96651,2022,11,0,2045,2758,,,1,1,2045,Austin College Kangaroos,Austin College,Kangaroos,2758,Howard Payne Yellow Jackets,Howard Payne,Yellow Jackets,-1.0,-1.0
96205,2022,10,0,2528,2779,,,1,1,2528,Rensselaer Engineers,Rensselaer,Engineers,2779,St Lawrence Saints,St Lawrence,Saints,-1.0,-1.0
96603,2022,11,0,2614,2062,,,1,1,2614,St. Vincent Bearcats,St. Vincent,Bearcats,2062,Bethany (WV) Bison,Bethany (WV),Bison,-1.0,-1.0
85184,2016,10,0,257,256,,,0,1,257,Richmond Spiders,Richmond,Spiders,256,James Madison Dukes,James Madison,Dukes,-1.0,-1.0
96629,2022,11,0,2419,86,,,1,1,2419,Mount St. Joseph Lions,Mount St. Joseph,Lions,86,Rose-Hulman Engineers,Rose-Hulman,Engineers,-1.0,-1.0
96294,2022,10,0,2188,2974,,,1,1,2188,East Stroudsburg Warriors,East Stroudsburg,Warriors,2974,Shepherd Rams,Shepherd,Rams,-1.0,-1.0
96556,2022,11,0,2477,2273,,,1,1,2477,Ohio Dominican Panthers,Ohio Dominican,Panthers,2273,Hillsdale Chargers,Hillsdale,Chargers,-1.0,-1.0
96296,2022,10,0,2940,2304,,,1,1,2940,Livingstone Blue Bears,Livingstone,Blue Bears,2304,Johnson C Smith Golden Bulls,Johnson C Smith,Golden Bulls,-1.0,-1.0
96560,2022,11,0,2564,63,,,1,1,2564,Simpson College Storm,Simpson College,Storm,63,Buena Vista Beavers,Buena Vista,Beavers,-1.0,-1.0
96500,2022,11,0,2134,223,,,1,1,2134,Clarion Golden Eagles,Clarion,Golden Eagles,223,West Chester Golden Rams,West Chester,Golden Rams,-1.0,-1.0
96644,2022,11,0,2740,272,,,1,1,2740,Wisconsin-La Crosse Eagles,Wisconsin-La Crosse,Eagles,272,Wisconsin-Platteville Pioneers,Wisconsin-Platteville,Pioneers,-1.0,-1.0
96457,2022,10,0,415,2333,,,1,1,415,George Fox University Bruins,George Fox University,Bruins,2333,Lewis & Clark Pioneers,Lewis & Clark,Pioneers,-1.0,-1.0
96447,2022,10,0,110243,2703,,,1,1,110243,University of Texas of the Permian Basin Falcons,University of Texas of the Permian Basin,Falcons,2703,Western New Mexico Mustangs,Western New Mexico,Mustangs,-1.0,-1.0
96519,2022,11,0,2951,3162,,,1,1,2951,SUNY Maritime Privateers,SUNY Maritime,Privateers,3162,Alfred State College Pioneers,Alfred State College,Pioneers,-1.0,-1.0
96677,2022,11,0,2069,2570,,,1,1,2069,Black Hills State Yellow Jackets,Black Hills State,Yellow Jackets,2570,Colorado State-Pueblo Thunderwolves,Colorado State-Pueblo,Thunderwolves,-1.0,-1.0
85166,2016,10,0,2169,2428,,,0,1,2169,Delaware State Hornets,Delaware State,Hornets,2428,North Carolina Central Eagles,North Carolina Central,Eagles,-1.0,-1.0
89947,2019,11,0,2460,282,,,0,1,2460,Northern Iowa Panthers,Northern Iowa,Panthers,282,Indiana State Sycamores,Indiana State,Sycamores,-1.0,-1.0
96850,2022,12,0,2685,2740,,,1,0,2685,Wartburg Knights,Wartburg,Knights,2740,Wisconsin-La Crosse Eagles,Wisconsin-La Crosse,Eagles,-1.0,-1.0
96303,2022,10,0,359,427,,,1,1,359,Otterbein Cardinals,Otterbein,Cardinals,427,Ohio Northern Polar Bears,Ohio Northern,Polar Bears,-1.0,-1.0
96204,2022,10,0,2280,2884,,,1,1,2280,Husson Eagles,Husson,Eagles,2884,Nichols Bison,Nichols,Bison,-1.0,-1.0
96623,2022,11,0,255,2919,,,1,1,255,Knox College Prairie Fire,Knox College,Prairie Fire,2919,Monmouth (IL) Fighting Scots,Monmouth (IL),Fighting Scots,-1.0,-1.0
96664,2022,11,0,2738,271,,,1,1,2738,Wisconsin-Eau Claire Blugolds,Wisconsin-Eau Claire,Blugolds,271,UW-Oshkosh Titans,UW-Oshkosh,Titans,-1.0,-1.0
96700,2022,11,0,2271,2888,,,1,1,2271,Henderson State Reddies,Henderson State,Reddies,2888,Ouachita Baptist Tigers,Ouachita Baptist,Tigers,-1.0,-1.0
96461,2022,10,0,2658,2395,,,1,1,2658,Texas A&M-Kingsville Javelinas,Texas A&M-Kingsville,Javelinas,2395,Midwestern State Mustangs,Midwestern State,Mustangs,-1.0,-1.0
96734,2022,11,0,2201,2703,,,1,1,2201,Eastern New Mexico Greyhounds,Eastern New Mexico,Greyhounds,2703,Western New Mexico Mustangs,Western New Mexico,Mustangs,-1.0,-1.0
96369,2022,10,0,2894,2844,,,1,1,2894,Sioux Falls Cougars,Sioux Falls,Cougars,2844,Wayne State (NE) Wildcats,Wayne State (NE),Wildcats,-1.0,-1.0
96308,2022,10,0,2743,271,,,1,1,2743,Wisconsin-Stevens Point Pointers,Wisconsin-Stevens Point,Pointers,271,UW-Oshkosh Titans,UW-Oshkosh,Titans,-1.0,-1.0
96576,2022,11,0,2614,121695,,,0,0,2614,St. Vincent Bearcats,St. Vincent,Bearcats,121695,Bethany Co Bethany Co,Bethany Co,Bethany Co,-1.0,-1.0
96385,2022,10,0,199,2888,,,1,1,199,Southeastern Oklahoma Savage Storm,Southeastern Oklahoma,Savage Storm,2888,Ouachita Baptist Tigers,Ouachita Baptist,Tigers,-1.0,-1.0
85183,2016,10,0,2029,2400,,,0,1,2029,Arkansas-PB Golden Lions,Arkansas-Pine Bluff,Golden Lions,2400,Mississippi Valley State Delta Devils,Mississippi Valley State,Delta Devils,-1.0,-1.0
96326,2022,10,0,2262,86,,,1,1,2262,Hanover Panthers,Hanover,Panthers,86,Rose-Hulman Engineers,Rose-Hulman,Engineers,-1.0,-1.0
96528,2022,11,0,2385,2974,,,1,1,2385,Mercyhurst Lakers,Mercyhurst,Lakers,2974,Shepherd Rams,Shepherd,Rams,-1.0,-1.0
85167,2016,10,0,2546,55,,,0,1,2546,Southeast Missouri State Redhawks,Southeast Missouri State,Redhawks,55,Jacksonville State Gamecocks,Jacksonville State,Gamecocks,-1.0,-1.0
85214,2016,10,0,2000,2466,,,0,1,2000,Abilene Christian Wildcats,Abilene Christian,Wildcats,2466,Northwestern State Demons,Northwestern State,Demons,-1.0,-1.0
96315,2022,10,0,2123,11,,,1,1,2123,Chadron State Eagles,Chadron State,Eagles,11,Colorado Mesa Mavericks,Colorado Mesa,Mavericks,-1.0,-1.0
96281,2022,10,0,121,2977,,,1,1,121,Bates College Bobcats,Bates College,Bobcats,2977,Trinity (CT) Bantams,Trinity (CT),Bantams,-1.0,-1.0
96295,2022,10,0,317,424,,,1,1,317,Marietta Pioneers,Marietta,Pioneers,424,Capital Crusaders,Capital,Crusaders,-1.0,-1.0
96338,2022,10,0,2781,3110,,,1,1,2781,Brockport State (NY) Golden Eagles,Brockport State (NY),Golden Eagles,3110,Morrisville State Mustangs,Morrisville State,Mustangs,-1.0,-1.0
97061,2022,15,0,2146,2974,,,1,0,2146,Colorado Mines Orediggers,Colorado Mines,Orediggers,2974,Shepherd Rams,Shepherd,Rams,-1.0,-1.0
85225,2016,10,0,13,331,,,0,1,13,Cal Poly Mustangs,Cal Poly,Mustangs,331,Eastern Washington Eagles,Eastern Washington,Eagles,-1.0,-1.0
89909,2019,11,0,2181,294,,,0,1,2181,Drake Bulldogs,Drake,Bulldogs,294,Jacksonville Dolphins,Jacksonville,Dolphins,-1.0,-1.0
96256,2022,10,0,2257,109418,,,1,1,2257,Greenville Panthers,Greenville,Panthers,109418,Finlandia University Lions,Finlandia University,Lions,-1.0,-1.0
96633,2022,11,0,332,317,,,1,1,332,Muskingum Muskies,Muskingum,Muskies,317,Marietta Pioneers,Marietta,Pioneers,-1.0,-1.0
96337,2022,10,0,2079,2688,,,1,1,2079,Bridgewater (VA) Eagles,Bridgewater (VA),Eagles,2688,Washington & Lee Generals,Washington & Lee,Generals,-1.0,-1.0
96499,2022,11,0,437,128,,,1,0,437,Lake Erie College Storm,Lake Erie College,Storm,128,Northern Michigan Wildcats,Northern Michigan,Wildcats,-1.0,-1.0
96219,2022,10,0,2651,2812,,,1,1,2651,Trine Thunder,Trine,Thunder,2812,Hope Flying Dutchmen,Hope,Flying Dutchmen,-1.0,-1.0
96235,2022,10,0,2274,125974,,,1,0,2274,Hiram Terriers,Hiram,Terriers,125974,Hilbert College Hilbert,Hilbert College,Hilbert,-1.0,-1.0
96220,2022,10,0,2119,2310,,,1,1,2119,Central State Marauders,Central State,Marauders,2310,Kentucky State Thorobreds,Kentucky State,Thorobreds,-1.0,-1.0
96604,2022,11,0,2242,2849,,,1,1,2242,Geneva College Golden Tornadoes,Geneva College,Golden Tornadoes,2849,Westminster PA Titans,Westminster PA,Titans,-1.0,-1.0
96512,2022,11,0,388,2015,,,1,1,388,Lebanon Valley Flying Dutchmen,Lebanon Valley,Flying Dutchmen,2015,Albright Lions,Albright,Lions,-1.0,-1.0
96425,2022,10,0,2316,2838,,,1,1,2316,Kentucky Wesleyan Panthers,Kentucky Wesleyan,Panthers,2838,Tiffin Dragons,Tiffin,Dragons,-1.0,-1.0
96254,2022,10,0,2702,111675,,,1,1,2702,Western New England Golden Bears,Western New England,Golden Bears,111675,University of New England Nor'Easters,University of New England,Nor'Easters,-1.0,-1.0
96213,2022,10,0,81,109,,,1,1,81,Springfield Pride,Springfield,Pride,109,MIT Engineers,MIT,Engineers,-1.0,-1.0
96640,2022,11,0,72,306,,,1,1,72,Elmhurst Blue Jays,Elmhurst,Blue Jays,306,Illinois Wesleyan Titans,Illinois Wesleyan,Titans,-1.0,-1.0
96653,2022,11,0,137,2876,,,1,1,137,Missouri Western Griffons,Missouri Western,Griffons,2876,Lincoln (MO) Blue Tigers,Lincoln (MO),Blue Tigers,-1.0,-1.0
96298,2022,10,0,2074,2023,,,1,1,2074,Bluffton Beavers,Bluffton,Beavers,2023,Anderson (IN) Ravens,Anderson (IN),Ravens,-1.0,-1.0
96494,2022,11,0,367,2559,,,1,1,367,Gannon Golden Knights,Gannon,Golden Knights,2559,Shippensburg Raiders,Shippensburg,Raiders,-1.0,-1.0
96173,2022,10,0,2015,111674,,,1,1,2015,Albright Lions,Albright,Lions,111674,Alvernia University Golden Wolves,Alvernia University,Golden Wolves,-1.0,-1.0
96317,2022,10,0,268,80,,,1,1,268,Lawrence Vikings,Lawrence,Vikings,80,Chicago Maroons,Chicago,Maroons,-1.0,-1.0
96584,2022,11,0,389,2894,,,1,1,389,Upper Iowa Peacocks,Upper Iowa,Peacocks,2894,Sioux Falls Cougars,Sioux Falls,Cougars,-1.0,-1.0
89905,2019,11,0,2546,2198,,,0,1,2546,Southeast Missouri State Redhawks,Southeast Missouri State,Redhawks,2198,Eastern Kentucky Colonels,Eastern Kentucky,Colonels,-1.0,-1.0
96743,2022,11,0,2927,2823,,,1,1,2927,Southwestern Oklahoma Bulldogs,Southwestern Oklahoma,Bulldogs,2823,Northwestern Oklahoma State Rangers,Northwestern Oklahoma State,Rangers,-1.0,-1.0
96266,2022,10,0,209,2559,,,1,1,209,Lock Haven Bald Eagles,Lock Haven,Bald Eagles,2559,Shippensburg Raiders,Shippensburg,Raiders,-1.0,-1.0
85204,2016,10,0,2046,2634,,,0,1,2046,Austin Peay Governors,Austin Peay,Governors,2634,Tennessee State Tigers,Tennessee State,Tigers,-1.0,-1.0
96572,2022,11,0,2746,125974,,,1,0,2746,Wittenberg Tigers,Wittenberg,Tigers,125974,Hilbert College Hilbert,Hilbert College,Hilbert,-1.0,-1.0
89939,2019,11,0,2692,155,,,0,0,2692,Weber State Wildcats,Weber State,Wildcats,155,North Dakota Fighting Hawks,North Dakota,Fighting Hawks,-1.0,-1.0
96479,2022,11,0,2827,111675,,,1,0,2827,Rowan Professors,Rowan,Professors,111675,University of New England Nor'Easters,University of New England,Nor'Easters,-1.0,-1.0
96680,2022,11,0,2371,241,,,1,1,2371,Mary Hardin-Baylor Crusaders,Mary Hardin-Baylor,Crusaders,241,McMurry War Hawks,McMurry,War Hawks,-1.0,-1.0
96520,2022,11,0,2749,109,,,1,1,2749,Worcester Polytechnic Engineers,Worcester Polytechnic,Engineers,109,MIT Engineers,MIT,Engineers,-1.0,-1.0
96805,2022,12,0,2516,2782,,,1,0,2516,Randolph-Macon Yellow Jackets,Randolph-Macon,Yellow Jackets,2782,SUNY Cortland Red Dragons,SUNY Cortland,Red Dragons,-1.0,-1.0
96707,2022,11,0,2673,2560,,,1,1,2673,Valdosta State Blazers,Valdosta State,Blazers,2560,Shorter Hawks,Shorter,Hawks,-1.0,-1.0
89910,2019,11,0,2635,55,,,0,1,2635,Tennessee Tech Golden Eagles,Tennessee Tech,Golden Eagles,55,Jacksonville State Gamecocks,Jacksonville State,Gamecocks,-1.0,-1.0
96618,2022,11,0,3110,173,,,1,1,3110,Morrisville State Mustangs,Morrisville State,Mustangs,173,Hartwick Hawks,Hartwick,Hawks,-1.0,-1.0
96740,2022,11,0,2930,2508,,,1,1,2930,Willamette Bearcats,Willamette,Bearcats,2508,Puget Sound Loggers,Puget Sound,Loggers,-1.0,-1.0
96365,2022,10,0,75,72,,,1,1,75,North Park Vikings,North Park,Vikings,72,Elmhurst Blue Jays,Elmhurst,Blue Jays,-1.0,-1.0
85176,2016,10,0,79,233,,,0,1,79,Southern Illinois Salukis,Southern Illinois,Salukis,233,South Dakota Coyotes,South Dakota,Coyotes,-1.0,-1.0
96484,2022,11,0,2858,2188,,,1,1,2858,California (PA) Vulcans,California (PA),Vulcans,2188,East Stroudsburg Warriors,East Stroudsburg,Warriors,-1.0,-1.0
96434,2022,10,0,291,2256,,,1,1,291,Methodist Monarchs,Methodist,Monarchs,2256,Greensboro Pride,Greensboro,Pride,-1.0,-1.0
96616,2022,11,0,2399,2257,,,1,1,2399,Minnesota-Morris Cougars,Minnesota-Morris,Cougars,2257,Greenville Panthers,Greenville,Panthers,-1.0,-1.0
96620,2022,11,0,2725,2808,,,1,1,2725,Widener Pride,Widener,Pride,2808,Delaware Valley Aggies,Delaware Valley,Aggies,-1.0,-1.0
96260,2022,10,0,471,398,,,1,1,471,Stevenson Mustangs,Stevenson,Mustangs,398,Wilkes Colonels,Wilkes,Colonels,-1.0,-1.0
96741,2022,11,0,2333,203,,,1,1,2333,Lewis & Clark Pioneers,Lewis & Clark,Pioneers,203,Linfield Wildcats,Linfield,Wildcats,-1.0,-1.0
96642,2022,11,0,112335,2986,,,1,1,112335,Wheeling Jesuit Cardinals,Wheeling Jesuit,Cardinals,2986,Fairmont State Falcons,Fairmont State,Falcons,-1.0,-1.0
96596,2022,11,0,67,6845,,,1,1,67,Luther Norse,Luther,Norse,6845,Nebraska Wesleyan University Neb Wesleyan,Nebraska Wesleyan University,Neb Wesleyan,-1.0,-1.0
96280,2022,10,0,2827,2818,,,1,1,2827,Rowan Professors,Rowan,Professors,2818,Montclair State Red Hawks,Montclair State,Red Hawks,-1.0,-1.0
89946,2019,11,0,304,331,,,0,1,304,Idaho State Bengals,Idaho State,Bengals,331,Eastern Washington Eagles,Eastern Washington,Eagles,-1.0,-1.0
96416,2022,10,0,2570,613,,,1,1,2570,Colorado State-Pueblo Thunderwolves,Colorado State-Pueblo,Thunderwolves,613,South Dakota Mines Hardrockers,South Dakota Mines,Hardrockers,-1.0,-1.0
96676,2022,11,0,2402,2586,,,1,1,2402,Missouri S&T Miners,Missouri S&T,Miners,2586,Southwest Baptist Bearcats,Southwest Baptist,Bearcats,-1.0,-1.0
96612,2022,11,0,32,143,,,1,0,32,Carroll (WI) Pioneers,Carroll (WI),Pioneers,143,Washington (MO) Bears,Washington (MO),Bears,-1.0,-1.0
96417,2022,10,0,205,2721,,,1,1,205,Pacific (OR) Boxers,Pacific (OR),Boxers,2721,Whitworth Pirates,Whitworth,Pirates,-1.0,-1.0
89948,2019,11,0,2617,2916,,,0,1,2617,Stephen F. Austin Lumberjacks,Stephen F. Austin,Lumberjacks,2916,Incarnate Word Cardinals,Incarnate Word,Cardinals,-1.0,-1.0
96189,2022,10,0,184,173,,,1,0,184,Rochester Yellow Jackets,Rochester,Yellow Jackets,173,Hartwick Hawks,Hartwick,Hawks,-1.0,-1.0
96273,2022,10,0,2886,2477,,,1,0,2886,Northwood (MI) Timberwolves,Northwood (MI),Timberwolves,2477,Ohio Dominican Panthers,Ohio Dominican,Panthers,-1.0,-1.0
96239,2022,10,0,2832,101,,,1,1,2832,St. Norbert Green Knights,St. Norbert,Green Knights,101,Eureka College Red Devils,Eureka College,Red Devils,-1.0,-1.0
96383,2022,10,0,568,559,,,1,1,568,Minot State Beavers,Minot State,Beavers,559,University of Mary Marauders,University of Mary,Marauders,-1.0,-1.0
85218,2016,10,0,149,304,,,0,1,149,Montana Grizzlies,Montana,Grizzlies,304,Idaho State Bengals,Idaho State,Bengals,-1.0,-1.0
96491,2022,11,0,348,121,,,1,1,348,Hamilton Continentals,Hamilton,Continentals,121,Bates College Bobcats,Bates College,Bobcats,-1.0,-1.0
96710,2022,11,0,2714,2001,,,1,1,2714,Western State Mountaineers,Western State,Mountaineers,2001,Adams State Grizzlies,Adams State,Grizzlies,-1.0,-1.0
96602,2022,11,0,455,2249,,,1,1,455,WV Wesleyan Bobcats,WV Wesleyan,Bobcats,2249,Glenville State Pioneers,Glenville State,Pioneers,-1.0,-1.0
96643,2022,11,0,80,262,,,0,1,80,Chicago Maroons,Chicago,Maroons,262,Lake Forest Foresters,Lake Forest,Foresters,-1.0,-1.0
96503,2022,11,0,2776,2280,,,1,1,2776,Salve Regina Seahawks,Salve Regina,Seahawks,2280,Husson Eagles,Husson,Eagles,-1.0,-1.0
96319,2022,10,0,2810,2045,,,1,1,2810,Hardin-Simmons Cowboys,Hardin-Simmons,Cowboys,2045,Austin College Kangaroos,Austin College,Kangaroos,-1.0,-1.0
