id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game
1,1869,1,0,164,163,6.0,4.0,1,0
2,1869,2,0,163,164,8.0,0.0,1,0
3,1870,1,0,164,171,6.0,3.0,1,0
4,1870,2,0,163,164,6.0,2.0,1,0
5,1872,1,0,164,171,0.0,0.0,1,0
6,1872,2,0,164,171,7.0,5.0,1,0
7,1872,3,0,163,164,4.0,1.0,1,0
8,1872,3,0,43,171,3.0,0.0,1,0
9,1872,4,0,171,1000055,6.0,0.0,1,0
10,1873,1,0,1000055,1000041,6.0,1.0,1,0
11,1873,2,0,1000055,171,1.0,2.0,1,0
12,1873,2,0,43,164,3.0,1.0,1,0
13,1873,3,0,1000055,1000066,6.0,0.0,1,0
14,1873,3,0,164,171,5.0,4.0,1,0
15,1873,4,0,171,164,4.0,3.0,1,0
16,1873,5,0,43,163,0.0,3.0,1,0
17,1873,6,0,43,1000067,2.0,1.0,1,0
18,1874,1,0,164,171,6.0,1.0,1,0
19,1874,2,0,1000055,171,4.0,2.0,1,0
20,1874,2,0,164,1000055,0.0,6.0,1,0
21,1874,3,0,163,171,6.0,0.0,1,0
22,1874,4,0,1000055,1000041,6.0,0.0,1,0
23,1874,4,0,171,164,4.0,1.0,1,0
24,1874,5,0,43,1000055,6.0,0.0,1,0
25,1874,5,0,163,164,6.0,0.0,1,0
26,1874,5,0,43,171,5.0,1.0,1,0
27,1874,6,0,43,171,6.0,1.0,1,0
28,1875,1,0,1000055,1000041,5.0,0.0,1,0
29,1875,2,0,164,1000055,6.0,0.0,1,0
30,1875,3,0,1000068,108,0.0,1.0,1,0
31,1875,3,0,1000055,1000066,6.0,0.0,1,0
32,1875,4,0,171,164,1.0,1.0,1,0
33,1875,4,0,1000055,171,1.0,2.0,1,0
34,1875,4,0,112,108,0.0,1.0,1,0
35,1875,4,0,43,164,4.0,1.0,1,0
36,1875,4,0,1000066,171,0.0,5.0,1,0
37,1875,5,0,1000055,1000066,6.0,0.0,1,0
38,1875,5,0,43,108,0.0,4.0,1,0
39,1875,5,0,163,171,6.0,2.0,1,0
40,1875,6,0,43,1000061,6.0,0.0,1,0
41,1875,6,0,108,1000068,1.0,0.0,1,0
42,1875,6,0,171,1000066,6.0,0.0,1,0
43,1875,6,0,163,1000055,6.0,0.0,1,0
44,1875,7,0,43,171,2.0,3.0,1,0
45,1876,1,0,219,163,0.0,6.0,1,0
46,1876,1,0,164,1000055,3.0,2.0,1,0
47,1876,1,0,1000055,171,5.0,3.0,1,0
48,1876,1,0,1000068,108,0.0,2.0,1,0
49,1876,2,0,1000055,1000041,8.0,0.0,1,0
50,1876,2,0,171,163,0.0,3.0,1,0
51,1876,2,0,108,1000069,1.0,0.0,1,0
52,1876,3,0,219,1000070,4.0,0.0,1,0
53,1876,3,0,43,108,1.0,0.0,1,0
54,1876,3,0,171,1000055,4.0,0.0,1,0
55,1876,4,0,163,219,6.0,0.0,1,0
56,1876,5,0,43,163,2.0,0.0,1,0
57,1876,6,0,171,43,0.0,2.0,1,0
58,1876,7,0,108,163,1.0,0.0,1,0
59,1877,1,0,1000055,164,4.0,1.0,1,0
60,1877,1,0,171,108,0.0,6.0,1,0
61,1877,2,0,43,112,1.0,0.0,1,0
62,1877,3,0,171,164,1.0,0.0,1,0
63,1877,3,0,1000069,108,0.0,1.0,1,0
64,1877,4,0,1000055,171,0.0,1.0,1,0
65,1877,4,0,164,1000055,5.0,0.0,1,0
66,1877,4,0,7,112,8.0,4.0,1,0
67,1877,4,0,163,108,1.0,0.0,1,0
68,1877,5,0,43,2977,7.0,0.0,1,0
